Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
e6aa01f9-52f3-459c-8e15-2b3902e614fc,2018-08-21 17:52:24,Running,,5.16,46:23,8:59,6.68,299.0,28,,"","",2018-08-21-175224.gpx
34182cff-e8d3-4a83-a964-bea2036c0b6b,2018-08-19 11:42:49,Running,,6.63,55:29,8:22,7.17,418.0,122,,"","",2018-08-19-114249.gpx
6ccde9ba-366a-49c4-8d91-1fcb4d7cf558,2018-08-11 09:49:00,Running,,5.88,48:28,8:15,7.28,349.0,49,,"","",2018-08-11-094900.gpx
187647a9-0dae-415b-9956-fec29ce09b21,2018-08-08 11:30:57,Cycling,,3.52,30:26,8:39,6.93,132.0,22,,"","",2018-08-08-113057.gpx
e95c9ce2-3e95-471e-b92d-877dcf7937ca,2018-08-05 07:46:43,Cycling,,7.09,1:00:15,8:30,7.06,267.0,76,,"","",2018-08-05-074643.gpx
b0c10820-2725-4b3f-bd7e-f9ea98920d77,2018-07-29 11:58:26,Cycling,,4.68,55:25,11:51,5.06,246.0,45,,"","",2018-07-29-115826.gpx
998a5636-edf8-42bf-ba7f-e152e754705f,2018-07-07 09:47:15,Running,,5.47,50:01,9:09,6.56,315.0,48,,"","",2018-07-07-094715.gpx
db89854c-d024-4b09-b688-0b73b5d729a0,2018-07-04 08:12:57,Running,,5.28,46:01,8:43,6.88,293.0,37,,"","",2018-07-04-081257.gpx
5288bd23-fc91-40eb-8e2b-9b6960ddf4c2,2018-06-30 09:45:07,Running,,5.84,53:59,9:14,6.50,337.0,56,,"","",2018-06-30-094507.gpx
aeed420d-5e44-4d0a-8c97-ca0f17428b28,2018-06-23 09:44:21,Running,,5.77,50:35,8:46,6.84,326.0,48,,"","",2018-06-23-094421.gpx
27ccd2f9-1224-4fb0-95c5-3320a653e036,2018-05-26 09:47:37,Running,,4.59,40:40,8:51,6.78,262.0,39,,"","",2018-05-26-094737.gpx
49a4c89f-2d68-4ae4-979b-a4b29037d59f,2018-05-04 06:27:02,Running,,4.46,40:46,9:09,6.56,259.0,27,,"","",2018-05-04-062702.gpx
9a2cfeba-c5bf-44ce-890f-956c715e458d,2018-04-28 09:59:33,Running,,5.61,48:51,8:43,6.89,324.0,28,,"","",2018-04-28-095933.gpx
c04438b6-3037-4914-a6df-71d49970fa18,2018-04-26 11:08:52,Running,,4.40,40:34,9:13,6.51,254.0,41,,"","",2018-04-26-110852.gpx
