,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk
0.0,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,-0.001333333333333333,-0.0006666666666666674,0.1573333333333333,1008.6026666666669,0.8760000000000001,-17.871999999999996,-27.372000000000007,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0
0.05,-0.01,-0.01,1.0179999999999998,0.0,0.0,0.0,-0.0026666666666666666,0.007333333333333332,0.152,1008.6000000000001,0.58,-17.600000000000005,-27.58000000000001,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0
0.1,-0.01,-0.01,1.0179999999999998,0.0,0.0,0.0,0.0006666666666666665,0.0033333333333333335,0.14866666666666667,1008.6000000000001,0.728,-17.520000000000003,-28.028,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0
0.15000000000000002,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.005000000000000003,0.008571428571428568,0.16214285714285712,1008.6000000000001,1.2685714285714285,-17.57142857142857,-28.174285714285723,183.23,0.4400000000000001,-0.62,46.36000000000001,1,0,0,0,0
0.2,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,-0.0014285714285714286,-0.0014285714285714286,0.15857142857142856,1008.6000000000001,1.7399999999999995,-17.699999999999996,-27.660000000000007,183.23,0.4400000000000001,-0.62,46.36000000000001,1,0,0,0,0
0.25,-0.01,-0.01,1.02,0.0,0.0,0.0,0.007058823529411765,0.001764705882352941,0.16176470588235295,1008.6,1.231764705882353,-17.36117647058823,-28.11176470588235,183.23,0.44,-0.62,48.762352941176474,1,0,0,0,0
0.30000000000000004,-0.01,-0.008125,1.02,0.0,0.0,0.0,0.0125,0.001875,0.1575,1008.6,1.02,-18.0,-28.86,183.23,0.44,-0.62,66.78,1,0,0,0,0
0.35000000000000003,-0.009999999999999998,-0.006666666666666667,1.0199999999999998,0.0,0.0,0.0,0.0,0.015833333333333335,0.16416666666666666,1008.6,1.12,-17.95,-28.31,183.23,0.4400000000000001,-0.62,66.77999999999999,1,0,0,0,0
0.4,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,-0.004666666666666667,0.0033333333333333335,0.15466666666666662,1008.6000000000001,1.164,-17.819999999999997,-28.008000000000006,183.23,0.44000000000000017,-0.6199999999999999,66.77999999999999,1,0,0,0,0
0.45,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,-0.0038461538461538464,0.0038461538461538464,0.16076923076923075,1008.6000000000001,1.283076923076923,-17.54307692307692,-27.7476923076923,183.23,0.4400000000000001,-0.62,66.77999999999999,1,0,0,0,0
0.5,-0.010000000000000002,-0.010000000000000002,1.02,0.0,0.0,0.0,0.0,0.0,0.16210526315789475,1008.5999999999999,1.2947368421052634,-17.384210526315787,-27.852631578947364,183.23,0.44000000000000006,-0.6199999999999999,66.78,1,0,0,0,0
0.55,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.013846153846153848,-0.0038461538461538464,0.16461538461538458,1008.6000000000001,0.29999999999999993,-18.0,-27.899999999999995,183.23,0.4400000000000001,-0.62,68.17384615384616,1,0,0,0,0
0.6000000000000001,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.0038461538461538464,-0.0023076923076923075,0.16,1008.6092307692311,0.29999999999999993,-18.599999999999998,-27.300000000000004,183.23,0.4400000000000001,-0.62,75.84000000000002,1,0,0,0,0
0.65,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,0.015999999999999997,-0.0013333333333333333,0.15,1008.6100000000002,0.58,-18.240000000000002,-27.819999999999993,183.23,0.44000000000000017,-0.6199999999999999,75.84,1,0,0,0,0
0.7000000000000001,-0.01,-0.01,1.0166666666666666,0.0,0.0,0.0,-0.005333333333333333,0.007333333333333333,0.14933333333333332,1008.6013333333335,1.1120000000000003,-17.555999999999994,-27.744000000000007,183.23,0.44000000000000017,-0.6199999999999999,75.84,1,0,0,0,0
0.75,-0.01,-0.01,1.0158823529411765,0.0,0.0,0.0,0.001764705882352941,0.005294117647058823,0.14941176470588238,1008.6,1.288235294117647,-17.59764705882353,-27.508235294117647,183.23,0.44,-0.62,75.84,1,0,0,0,0
0.8,-0.009999999999999998,-0.009999999999999998,1.0146153846153845,0.0,0.0,0.0,0.0023076923076923075,0.01076923076923077,0.13923076923076927,1008.59,1.0015384615384617,-18.470769230769232,-27.75692307692307,183.23,0.4400000000000001,-0.62,75.84000000000002,1,0,0,0,0
0.8500000000000001,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.15666666666666665,1008.59,1.5599999999999998,-18.420000000000005,-27.959999999999997,183.23,0.4400000000000001,-0.62,75.84000000000002,1,0,0,0,0
0.9,-0.01,-0.01,1.018125,0.0,0.0,0.0,0.000625,0.006875,0.15250000000000002,1008.605,1.8525,-18.03,-28.155,183.23,0.44,-0.62,75.40875,1,0,0,0,0
0.9500000000000001,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,0.005333333333333333,-0.0026666666666666666,0.15799999999999997,1008.6100000000002,1.5599999999999994,-17.86,-27.84000000000001,183.23,0.44000000000000017,-0.6199999999999999,75.37999999999998,1,0,0,0,0
1.0,-0.010000000000000002,-0.010000000000000002,1.02,0.0,0.0,0.0,-0.003888888888888889,0.008333333333333333,0.15555555555555556,1008.61,0.9133333333333332,-17.88666666666667,-27.89333333333333,183.23,0.44000000000000006,-0.6199999999999999,75.38000000000001,1,0,0,0,0
1.05,-0.01,-0.01,1.02,0.0,0.0,0.0,0.0011111111111111111,-0.0011111111111111111,0.1488888888888889,1008.61,0.5666666666666668,-17.98,-28.05333333333333,183.23,0.44,-0.62,75.38,1,0,0,0,0
