,Unnamed: 0,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,Gain_outlier
0,0.0,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,-0.001333333333333333,-0.0006666666666666674,0.1573333333333333,1008.6026666666667,0.8760000000000001,-17.871999999999996,-27.37200000000001,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0,"Gain    True
Name: 0, dtype: bool"
1,0.05,-0.01,-0.01,1.0179999999999998,0.0,0.0,0.0,-0.0026666666666666666,0.0073333333333333315,0.152,1008.6,0.58,-17.600000000000005,-27.58000000000001,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0,"Gain    True
Name: 1, dtype: bool"
2,0.1,-0.01,-0.01,1.0179999999999998,0.0,0.0,0.0,0.0006666666666666665,0.0033333333333333327,0.14866666666666667,1008.6,0.728,-17.520000000000003,-28.028000000000002,183.23,0.44000000000000017,-0.6199999999999999,46.36000000000001,1,0,0,0,0,"Gain    True
Name: 2, dtype: bool"
3,0.15000000000000002,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.005000000000000003,0.008571428571428568,0.16214285714285712,1008.6,1.2685714285714285,-17.57142857142857,-28.174285714285727,183.23,0.4400000000000001,-0.62,46.36000000000001,1,0,0,0,0,"Gain    True
Name: 3, dtype: bool"
4,0.2,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,-0.0014285714285714286,-0.0014285714285714286,0.15857142857142856,1008.6,1.7399999999999995,-17.699999999999996,-27.66000000000001,183.23,0.4400000000000001,-0.62,46.36000000000001,1,0,0,0,0,"Gain    True
Name: 4, dtype: bool"
5,0.25,-0.01,-0.01,1.02,0.0,0.0,0.0,0.007058823529411766,0.001764705882352941,0.16176470588235295,1008.6,1.231764705882353,-17.36117647058823,-28.111764705882354,183.23,0.44,-0.62,48.76235294117648,1,0,0,0,0,"Gain    True
Name: 5, dtype: bool"
6,0.30000000000000004,-0.01,-0.008125,1.02,0.0,0.0,0.0,0.0125,0.001875,0.1575,1008.6,1.02,-18.0,-28.86,183.23,0.44,-0.62,66.78,1,0,0,0,0,"Gain    False
Name: 6, dtype: bool"
7,0.35000000000000003,-0.009999999999999998,-0.006666666666666667,1.0199999999999998,0.0,0.0,0.0,0.0,0.015833333333333338,0.16416666666666666,1008.6,1.12,-17.95,-28.31,183.23,0.4400000000000001,-0.62,66.77999999999999,1,0,0,0,0,"Gain    False
Name: 7, dtype: bool"
8,0.4,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,-0.004666666666666667,0.0033333333333333327,0.15466666666666662,1008.6,1.1640000000000001,-17.819999999999997,-28.00800000000001,183.23,0.44000000000000017,-0.6199999999999999,66.77999999999999,1,0,0,0,0,"Gain    False
Name: 8, dtype: bool"
9,0.45,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,-0.003846153846153847,0.003846153846153847,0.16076923076923075,1008.6,1.283076923076923,-17.54307692307692,-27.747692307692297,183.23,0.4400000000000001,-0.62,66.77999999999999,1,0,0,0,0,"Gain    False
Name: 9, dtype: bool"
10,0.5,-0.010000000000000002,-0.010000000000000002,1.02,0.0,0.0,0.0,0.0,0.0,0.16210526315789475,1008.6,1.2947368421052634,-17.384210526315787,-27.852631578947364,183.23,0.4400000000000001,-0.6199999999999999,66.78,1,0,0,0,0,"Gain    False
Name: 10, dtype: bool"
11,0.55,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.013846153846153848,-0.003846153846153847,0.16461538461538458,1008.6,0.29999999999999993,-18.0,-27.899999999999995,183.23,0.4400000000000001,-0.62,68.17384615384616,1,0,0,0,0,"Gain    False
Name: 11, dtype: bool"
12,0.6000000000000001,-0.009999999999999998,-0.009999999999999998,1.0199999999999998,0.0,0.0,0.0,0.003846153846153847,-0.0023076923076923075,0.16,1008.6092307692313,0.29999999999999993,-18.6,-27.300000000000004,183.23,0.4400000000000001,-0.62,75.84000000000002,1,0,0,0,0,"Gain    False
Name: 12, dtype: bool"
13,0.65,-0.01,-0.01,1.0199999999999998,0.0,0.0,0.0,0.015999999999999997,-0.0013333333333333333,0.15,1008.6100000000004,0.58,-18.24,-27.819999999999997,183.23,0.44000000000000017,-0.6199999999999999,75.84,1,0,0,0,0,"Gain    False
Name: 13, dtype: bool"
14,0.7000000000000001,-0.01,-0.01,1.0166666666666666,0.0,0.0,0.0,-0.005333333333333333,0.007333333333333333,0.14933333333333332,1008.6013333333336,1.1120000000000003,-17.555999999999994,-27.74400000000001,183.23,0.44000000000000017,-0.6199999999999999,75.84,1,0,0,0,0,"Gain    False
Name: 14, dtype: bool"
15,0.75,-0.01,-0.01,1.0158823529411765,0.0,0.0,0.0,0.001764705882352941,0.005294117647058822,0.14941176470588238,1008.6,1.288235294117647,-17.59764705882353,-27.508235294117647,183.23,0.44,-0.62,75.84,1,0,0,0,0,"Gain    False
Name: 15, dtype: bool"
16,0.8,-0.009999999999999998,-0.009999999999999998,1.0146153846153845,0.0,0.0,0.0,0.0023076923076923075,0.01076923076923077,0.13923076923076927,1008.59,1.0015384615384617,-18.470769230769232,-27.75692307692307,183.23,0.4400000000000001,-0.62,75.84000000000002,1,0,0,0,0,"Gain    False
Name: 16, dtype: bool"
