,Unnamed: 0,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,Gain_mixture
785,39.25,-0.204,-1.39066666667,0.0353333333333,-2.024,-0.261333333333,-1.426,-3.00466666667,-5.51933333333,2.38866666667,1008.73,8.388,36.072,-13.176,192.652666667,106.542666667,-0.408,85.24,0,0,0,0,1,0.0016110742631
786,39.3,-0.111875,-0.676875,0.20625,-2.36875,-1.52375,-0.8475,-0.731875,0.445625,5.3725,1008.66,5.865,36.96375,-9.5025,189.05375,110.42875,0.44375,86.40375,0,0,0,0,1,0.00169082937545
787,39.35,-0.212941176471,-0.404117647059,0.175294117647,-1.73588235294,-1.96823529412,-0.395294117647,-1.62529411765,4.83,5.46176470588,1008.59,3.45882352941,37.2,-5.30117647059,176.305294118,114.012941176,-2.94058823529,94.55,0,0,0,0,1,0.000153714803408
788,39.4,-0.239090909091,-0.329090909091,0.139090909091,-0.444545454545,-1.84909090909,-0.390909090909,-1.46181818182,5.41636363636,5.55181818182,1008.59,2.4,37.2654545455,-2.36727272727,166.261818182,113.067272727,-5.32727272727,94.55,0,0,0,0,1,0.000153714803408
789,39.45,-0.15,-0.21,-0.15,1.47,-1.08,-0.35,-0.881538461538,6.76846153846,2.67230769231,1008.59,1.44,37.44,-1.32,163.273076923,109.975384615,-5.43769230769,94.55,0,0,0,0,1,0.000153714803408
790,39.5,-0.0771428571429,-1.68857142857,-1.31857142857,1.18714285714,0.874285714286,-0.178571428571,-0.436428571429,-0.641428571429,-5.11857142857,1008.55428571,0.685714285714,37.5342857143,-4.52571428571,164.252142857,106.240714286,-4.83357142857,94.55,0,0,0,0,1,0.000153714803408
791,39.55,0.0764705882353,-1.07117647059,-0.810588235294,-0.678235294118,-1.12941176471,-0.408823529412,0.320588235294,-6.54647058824,-9.03294117647,1008.49,0.0211764705882,37.2423529412,-5.64705882353,163.770588235,110.698823529,-4.36529411765,94.55,0,0,0,0,1,0.000153714803408
792,39.6,-0.125,-1.14666666667,-0.0866666666667,0.0233333333333,0.0333333333333,-0.156666666667,0.868888888889,-0.627222222222,2.67,1008.56333333,-0.733333333333,36.76,-3.30666666667,160.176666667,115.498888889,-4.71,94.55,0,0,0,0,1,0.000153714803408
793,39.65,-0.498461538462,-2.01923076923,0.00538461538462,1.16615384615,1.18,-0.256153846154,-5.00615384615,-16.5123076923,5.89923076923,1008.61,-1.12153846154,37.2138461538,-1.86,161.585384615,115.208461538,-4.14384615385,89.8,0,0,0,0,1,0.00116928569389
794,39.7,-0.429375,-0.47875,0.37125,1.6375,1.0525,-0.3125,-7.575,10.57375,5.964375,1008.61,-1.7325,37.335,-3.72,166.39625,106.54,-2.644375,89.8,0,0,0,0,1,0.00116928569389
795,39.75,0.18,-1.66,0.27,2.29,0.85,0.28,1.908,-5.587,4.425,1008.61,-2.52,36.96,-7.32,168.554,97.694,-2.372,89.8,0,0,0,0,1,0.00116928569389
796,39.8,-0.2,-0.84,-0.04625,2.184375,0.468125,0.206875,0.15125,-1.6575,1.135625,1008.68,-1.5075,35.77875,-12.945,167.961875,92.329375,-3.109375,89.8,0,0,0,0,1,0.00116928569389
797,39.85,-0.09,-0.831764705882,0.0223529411765,1.76235294118,1.55764705882,0.373529411765,-0.409411764706,1.75823529412,-0.618823529412,1008.77,-0.649411764706,34.9588235294,-17.1741176471,172.234705882,83.8305882353,-4.66941176471,89.8,0,0,0,0,1,0.00116928569389
798,39.9,-0.0476923076923,-0.846153846154,0.102307692308,1.46692307692,1.41461538462,0.312307692308,0.643846153846,1.31846153846,-0.413846153846,1008.62230769,1.36615384615,32.9076923077,-20.4461538462,175.275384615,80.34,-6.07615384615,89.8,0,0,0,0,1,0.00116928569389
799,39.95,-0.109375,-0.798125,-0.016875,1.54375,1.1225,0.35,-0.276875,1.515625,-1.37375,1008.53,3.06,31.59,-22.62,176.21375,76.4175,-7.594375,94.609375,0,0,0,0,1,0.000148022052237
800,40.0,-0.0854545454545,-0.711818181818,-0.14,1.8,1.01,0.5,1.00818181818,2.41909090909,-3.74,1008.53,4.41272727273,30.5781818182,-24.3654545455,176.193636364,72.8736363636,-9.80818181818,94.93,0,0,0,0,1,0.000120067850158
801,40.05,0.194666666667,-1.11533333333,-0.0173333333333,0.74,1.11,1.05,3.20533333333,-0.810666666667,-2.87466666667,1008.53,6.54,27.96,-27.42,175.416,71.512,-11.8933333333,94.93,0,0,0,0,1,0.000120067850158
