,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-14 12:06:00.000,0.014110314982781504,-0.024694294635275973,0.7692589152839341,0.47790082694769354,-1.8576764664271859,0.9457356326395442,-0.25925115006536137,4.822775903859775,0.4323782465129736,1012.1187013100775,-41.0088705034214,62.31139164399143,-30.106292955957933,114.09180975864756,29.72248361323451,5.753526380502056,69.72783541406719,0,0,0,1,-0.46717061453258135,-0.07769786881297466,-0.1881606209673212,0.7197947525534516,0.4851352223648898,0.35606804317380697,0.40387449538091763
2019-06-14 12:06:00.250,0.014504736361188443,-0.05479295899450407,0.5885004647735586,0.9989953855871255,-1.3228428486440456,1.0954289385471208,-0.5521395457976893,1.984009591609242,-3.777522317187464,1012.0537485041854,-40.59212751906901,48.80957184508508,-12.834274036085567,119.08953741532319,33.00424264486511,5.6345259040905304,77.33096258738043,0,0,0,1,-0.3807721039641335,0.12373764687515185,-0.15619201156676116,0.7097005842647611,0.16828605928724744,0.08542369971421337,0.11142196850342756
2019-06-14 12:06:00.500,0.006158626612125943,-0.4074766848798484,0.33166473163210025,0.8452815225365897,-1.5868591214184842,0.9668082601146653,0.2083137052158963,-1.8160660470476024,-5.136862232762906,1011.9562641771653,-41.75099417185837,50.643290064038204,0.1767280001387117,56.323968402529296,28.797661177528724,7.182017588635616,83.23434590808237,0,0,0,1,-0.4945091474277108,0.032023571632749714,-0.215756152035766,0.7137753866104566,-0.09730144921278003,-0.23795438837668612,0.03856666781277919
2019-06-14 12:06:00.750,0.03636354927152676,-0.8219556856755238,0.12062066005624286,0.4652033128858529,-1.9007226908036745,1.302580733488524,-0.7562097159543619,-2.6965050628304548,-3.624122288968595,1011.9887194700615,-23.155795188504186,57.44080472434918,3.525891272251451,66.43663613990654,37.27585367851285,7.930680425653559,84.58338014244046,0,0,0,1,-0.5362732903286347,-0.06245201355492451,-0.0915086445528254,0.6861264324206486,-0.0627751338712311,-0.302608847902872,0.0005398433538717418
2019-06-14 12:06:01.000,-0.028165736669368124,-1.0676026872990896,0.11478463537328976,0.5680599453558852,-1.1385176798594099,1.0544463999306857,-2.8447935504649595,-1.3681375594526242,-1.6585230407344884,1012.0265680801767,2.6182335350272194,53.08965078997992,2.3726835354610403,231.02928831532085,61.514946165755596,9.61419571659702,85.12875480301106,0,0,0,1,-0.4043162687207541,-0.055042744309921815,0.29564945437218487,0.6204973878749643,0.2234257445700627,-0.17104866746501465,-0.25129516185076006
2019-06-14 12:06:01.250,-0.11338764899977752,-1.1502800251299015,0.12238477614357159,0.04746717714819419,0.08186870125055269,0.18584102252288032,-2.508050582979392,-0.8660160224412675,-1.0124369444000507,1011.9805087019557,10.28106676221949,46.693842808350496,2.5014937171655136,346.7351636965322,76.39294983949509,10.473488256241701,91.66736472828104,0,0,0,1,-0.3270920051966986,-0.10556805869159429,0.5414881151730703,0.5540402948525404,0.2723788028916146,-0.15831839343502305,-0.3970165317748675
2019-06-14 12:06:01.500,-0.1005841382856109,-1.0355677416140683,-0.022442498917881474,-0.6711341116787549,0.21548972097531816,0.017930276627799932,-1.6076541633841175,0.03060331170333376,-0.8110425636928276,1012.0227009475166,9.537045024648508,47.75139218477471,4.678972237430348,328.8369265573382,83.38353787783413,5.830242143483651,96.31768657771892,0,0,0,1,-0.22904793038395965,-0.1691792359246091,0.49424777459074054,0.5270209638067354,0.16910911553538074,-0.11109528541654883,-0.28845089841412436
2019-06-14 12:06:01.750,-0.15753142759787575,-0.9564721879644618,-0.13584313775784412,-0.204731763740038,-0.35203130544660227,-0.03176587174017548,-1.9591169378926423,0.4102446414622361,-0.3382609516874459,1012.0565761937663,10.637070551986675,47.559594694568304,7.914113910778598,316.4598426294503,94.17837981268104,-0.5632261680592083,91.00295435710802,0,0,0,1,-0.08931261698696003,-0.20883918551370584,0.4422110092654214,0.5360519797545241,0.17914202108808364,0.035868029791542154,-0.2705207188663592
2019-06-14 12:06:02.000,-0.22071878117110127,-1.0398929203455707,-0.0950330783175648,0.11204497982381481,-0.6612628931449834,-0.23040276379088626,-1.4251688006756034,-0.4768552299697266,0.12701484231705418,1012.0064853150251,9.86231732057847,46.431705959848976,7.008630169358323,314.38966711325594,97.42578941547167,-3.545450443487484,84.85177900330827,0,0,0,1,-0.1118241156131053,-0.26486342075675245,0.4497239521534848,0.544475280397025,0.13557377214290417,0.08132854199650127,-0.23675555695847558
2019-06-14 12:06:02.250,-0.11251770515982831,-0.989912760825534,-0.04080947985910931,-0.07752368834122288,-1.1966643311251097,-0.09644106445527648,-0.42857879731684795,0.0038610668015241593,0.17700385021389864,1012.0233391518133,8.063605285041056,48.992662304402856,1.7742194595701433,292.31528958054747,94.46723261776576,-3.027773409102501,82.25234959434137,0,0,0,1,-0.16185031243276252,-0.27919048719030565,0.41444518475194364,0.5652423802795167,0.10932631620117342,0.05406581574648842,0.011579334172922853
