,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
2019-06-14 12:06:00.000,,-0.024347826087,0.768695652174,0.480434782609,-1.85652173913,0.945652173913,,4.82652173913,0.424782608696,1012.11869565,,62.3139130435,-30.1069565217,114.085217391,29.7152173913,,69.73,0,0,0,1
2019-06-14 12:06:00.250,,-0.00826086956522,0.607826086957,0.627391304348,-1.0247826087,1.02913043478,,2.29913043478,-3.40956521739,1012.04521739,,50.5565217391,-13.1426086957,107.008695652,,5.7552173913,77.3134782609,0,0,0,1
2019-06-14 12:06:00.500,,-0.484545454545,0.295,1.47818181818,-2.12045454545,,,-2.34363636364,-5.81863636364,1011.97090909,-41.01,47.7054545455,0.676363636364,76.6395454545,,,83.2927272727,0,0,0,1
2019-06-14 12:06:00.750,,-0.740869565217,0.171304347826,-0.255652173913,-1.24043478261,,-0.263043478261,-2.13260869565,-2.72130434783,1011.97173913,-24.0495652174,60.667826087,3.01043478261,44.0352173913,33.4817391304,,84.4569565217,0,0,0,1
2019-06-14 12:06:01.000,0.0138095238095,-1.12619047619,0.0561904761905,1.20047619048,-1.80333333333,1.20761904762,-3.20619047619,-1.78523809524,-2.6419047619,1012.04238095,3.46571428571,50.4742857143,2.76,249.472380952,64.6757142857,,85.3214285714,0,0,0,1
2019-06-14 12:06:01.250,-0.171818181818,-1.13045454545,0.180454545455,-0.374090909091,0.648181818182,0.0727272727273,,-0.72,-0.116818181818,1011.96772727,9.64363636364,48.1254545455,2.29090909091,336.031363636,74.465,10.6077272727,91.45,0,0,0,1
2019-06-14 12:06:01.500,-0.0365217391304,-1.01695652174,-0.0717391304348,-0.5,-0.190434782609,0.0591304347826,-1.52913043478,0.175652173913,-1.47173913043,1012.0326087,9.9,47.5669565217,4.76086956522,331.292608696,84.0391304348,5.78826086957,96.5,0,0,0,1
2019-06-14 12:06:01.750,-0.212272727273,-0.996818181818,-0.0995454545455,-0.161818181818,-0.121363636364,0.0104545454545,-2.175,0.0659090909091,0.0272727272727,1012.04818182,10.4781818182,46.9090909091,7.87636363636,319.937272727,94.3772727273,-0.549545454545,90.89,0,0,0,1
2019-06-14 12:06:02.000,-0.188260869565,-1.00391304348,-0.121304347826,-0.065652173913,-0.74,-0.338695652174,-1.19173913043,-0.100869565217,-0.0213043478261,1012.01434783,10.0043478261,47.2486956522,7.04086956522,308.603043478,96.9573913043,-3.66130434783,84.9234782609,0,0,0,1
2019-06-14 12:06:02.250,-0.117272727273,-0.997272727273,-0.0140909090909,0.151818181818,-1.225,0.0336363636364,-0.570909090909,-0.229090909091,0.325454545455,1012.01681818,7.71,48.63,1.80545454545,297.227727273,94.7704545455,-2.65363636364,82.13,0,0,0,1
2019-06-14 12:06:02.500,0.0,-0.985,-0.148181818182,-0.219545454545,-1.44636363636,0.09,0.456818181818,0.279090909091,-1.18272727273,1012.04727273,8.29636363636,48.3572727273,-4.54363636364,277.840454545,95.2331818182,-4.29909090909,80.0527272727,0,0,0,1
2019-06-14 12:06:02.750,0.0147826086957,-1.01043478261,-0.0404347826087,-0.0565217391304,-1.32391304348,0.359565217391,1.09608695652,-0.190869565217,0.0708695652174,1012.06130435,6.37043478261,47.7443478261,-9.92608695652,254.185652174,97.1365217391,-6.32130434783,77.6391304348,0,0,0,1
2019-06-14 12:06:03.000,-0.194545454545,-1.07136363636,-0.167272727273,-0.947727272727,-1.27363636364,-0.0504545454545,-1.10954545455,-0.156363636364,-1.58636363636,1012.09909091,5.33454545455,47.4163636364,-13.1072727273,230.215454545,100.442272727,-9.58318181818,76.9,0,0,0,1
2019-06-14 12:06:03.250,-0.241818181818,-0.820454545455,-0.211818181818,-1.19454545455,-1.49545454545,-0.960909090909,-1.805,0.432727272727,1.96818181818,1012.10181818,-4.19727272727,52.3718181818,-5.65909090909,219.674545455,109.025,-4.47681818182,75.33,0,0,0,1
2019-06-14 12:06:03.500,-0.182173913043,-0.829565217391,-0.577826086957,-0.255217391304,-0.83652173913,-0.07,-1.30217391304,0.41652173913,-0.767826086957,1011.97782609,-8.73130434783,53.887826087,-1.60434782609,196.973478261,115.737826087,-8.14043478261,81.8934782609,0,0,0,1
2019-06-14 12:06:03.750,-0.0877272727273,-0.901363636364,-0.151363636364,1.02772727273,0.340909090909,-0.425454545455,0.045,0.385,2.56454545455,1012.07,-12.7772727273,53.6754545455,-3.06,193.371363636,112.700909091,-6.82136363636,86.255,0,0,0,1
2019-06-14 12:06:04.000,-0.0221739130435,-0.98347826087,-0.0421739130435,1.03608695652,0.824347826087,0.173913043478,0.642608695652,0.147826086957,-0.295217391304,1012.06782609,-7.84173913043,45.5347826087,-15.7982608696,208.746521739,91.2460869565,-4.63608695652,88.6573913043,0,0,0,1
2019-06-14 12:06:04.250,-0.136363636364,-1.29454545455,-0.150454545455,-1.29409090909,1.09727272727,-0.210909090909,-0.0781818181818,-2.42772727273,-1.42727272727,1011.99545455,4.77272727273,28.3772727273,-19.1154545455,214.778636364,88.8195454545,-4.45409090909,89.1245454545,0,0,0,1
2019-06-14 12:06:04.500,-0.186363636364,-0.649545454545,-0.0495454545455,-0.91,-0.548181818182,-0.137727272727,-1.98863636364,1.14590909091,3.30590909091,1012.00954545,5.41636363636,34.6090909091,-3.07636363636,214.656818182,112.110454545,-2.82409090909,87.67,0,0,0,1
2019-06-14 12:06:04.750,-0.106086956522,-0.963913043478,-0.608695652174,0.203043478261,0.483913043478,-0.307826086957,-0.942608695652,-2.06,-2.93391304348,1011.93304348,3.16434782609,35.16,-2.02173913043,204.53173913,113.591304348,-2.66347826087,88.37,0,0,0,1
2019-06-14 12:06:05.000,0.0563636363636,-1.21318181818,0.119090909091,1.87363636364,0.845,0.4,3.17272727273,-4.08590909091,4.22181818182,1012.10681818,2.08909090909,33.8918181818,-8.71363636364,204.923636364,101.537727273,-1.37181818182,89.3977272727,0,0,0,1
2019-06-14 12:06:05.250,0.0122727272727,-1.03,-0.129545454545,0.847272727273,0.646818181818,0.208636363636,1.425,0.566818181818,-2.41045454545,1012.05136364,7.26272727273,28.6418181818,-20.0263636364,210.228181818,82.2368181818,-3.50636363636,90.415,0,0,0,1
2019-06-14 12:06:05.500,-0.127826086957,-1.2752173913,0.0126086956522,-2.51434782609,-0.494782608696,-0.314347826087,-0.379565217391,-2.65695652174,1.52434782609,1012.08434783,10.4895652174,31.56,-11.8330434783,207.116521739,97.9969565217,-4.79782608696,93.0430434783,0,0,0,1
2019-06-14 12:06:05.750,-0.116363636364,-0.924545454545,-0.356818181818,-0.179090909091,-0.95,-0.0636363636364,0.00136363636364,1.63909090909,2.01636363636,1012.01272727,6.96818181818,34.9554545455,0.0109090909091,187.070454545,115.369545455,-7.11954545455,95.2981818182,0,0,0,1
2019-06-14 12:06:06.000,0.0117391304348,-0.980434782609,-0.0591304347826,0.61,-0.595217391304,0.0769565217391,1.07565217391,-1.51782608696,0.85652173913,1012.00304348,3.85826086957,38.0034782609,-2.61913043478,166.004347826,113.633478261,-10.7995652174,95.87,0,0,0,1
2019-06-14 12:06:06.250,-0.140454545455,-0.900909090909,-0.116363636364,1.27818181818,-0.300909090909,-0.0563636363636,0.525909090909,0.759090909091,-0.296363636364,1012.12,2.30727272727,37.8136363636,-12.5318181818,157.659545455,93.1659090909,-10.4677272727,94.86,0,0,0,1
2019-06-14 12:06:06.500,-0.0622727272727,-1.31818181818,-0.176363636364,-1.62045454545,-0.402727272727,0.0509090909091,1.12090909091,-3.28772727273,-1.73681818182,1012.00363636,3.54818181818,36.2972727273,-17.3481818182,154.75,87.3336363636,-10.4763636364,90.6927272727,0,0,0,1
2019-06-14 12:06:06.750,-0.0585714285714,-0.947619047619,0.122380952381,-1.43523809524,-1.99523809524,-0.775714285714,0.481904761905,0.72,4.2019047619,1012.03619048,-0.228571428571,39.6514285714,5.53142857143,134.59952381,113.06047619,-10.22,92.68,0,0,0,1
2019-06-14 12:06:07.000,-0.247083333333,-1.01666666667,-0.492916666667,-0.10375,-0.814166666667,-0.344166666667,-0.419583333333,0.270416666667,-0.87,1011.9525,-2.2925,38.105,12.05,100.410833333,113.582916667,-12.23125,92.7570833333,0,0,0,1
2019-06-14 12:06:07.250,-0.0257142857143,-1.06333333333,0.179523809524,1.40761904762,-0.308095238095,0.0457142857143,0.801428571429,-0.505714285714,2.74238095238,1012.07761905,-2.46285714286,37.8342857143,7.12571428571,89.1142857143,104.96952381,-11.2357142857,90.8842857143,0,0,0,1
2019-06-14 12:06:07.500,-0.0595454545455,-1.01136363636,-0.133181818182,0.363181818182,-0.317727272727,0.0672727272727,0.863181818182,-0.269090909091,-2.72818181818,1012.01681818,-2.67545454545,36.9054545455,-5.61272727273,90.7686363636,79.4845454545,-8.90181818182,89.67,0,0,0,1
2019-06-14 12:06:07.750,-0.203684210526,-1.36421052632,0.0426315789474,-2.72736842105,-1.21947368421,-0.385789473684,0.0542105263158,-3.75842105263,2.06736842105,1012.09052632,-3.16105263158,36.0157894737,2.04947368421,83.1910526316,100.297368421,-9.44894736842,85.2589473684,0,0,0,1
2019-06-14 12:06:08.000,-0.228333333333,-0.7075,-0.247083333333,-0.142916666667,-1.06583333333,-0.406666666667,-0.825,0.704583333333,0.594583333333,1012.00083333,-4.2,33.12,17.37,63.38625,115.635416667,-10.9329166667,88.205,0,0,0,1
2019-06-14 12:06:08.250,0.107619047619,-1.13,-0.100952380952,0.193333333333,-0.647142857143,-0.0814285714286,2.60047619048,-1.59761904762,2.76095238095,1011.9952381,-5.43142857143,33.1628571429,15.9514285714,56.1604761905,111.305714286,-8.95428571429,89.2657142857,0,0,0,1
2019-06-14 12:06:08.500,-0.06,-0.926818181818,-0.0613636363636,1.40181818182,0.989090909091,-0.121818181818,-1.52590909091,1.81727272727,-0.682727272727,1012.08,-6.87,35.7436363636,3.36,70.2504545455,89.7172727273,-4.33090909091,89.3913636364,0,0,0,1
2019-06-14 12:06:08.750,-0.0817391304348,-1.32217391304,-0.0821739130435,-1.37304347826,0.671739130435,-0.114782608696,-0.32,-3.42347826087,-1.08086956522,1011.99347826,-4.81565217391,36.3704347826,-4.90956521739,83.73,85.1069565217,-3.55956521739,90.4382608696,0,0,0,1
2019-06-14 12:06:09.000,-0.123636363636,-0.711818181818,0.04,-1.38409090909,-0.711363636364,-0.138636363636,-0.374090909091,1.00363636364,4.34590909091,1012.03181818,-5.09181818182,35.2118181818,16.1072727273,89.0118181818,111.475,-2.6,97.66,0,0,0,1
2019-06-14 12:06:09.250,-0.130434782609,-0.953043478261,-0.660869565217,0.179565217391,0.0382608695652,-0.311739130435,-1.04913043478,-0.330869565217,-2.37217391304,1011.92217391,-3.97043478261,33.5686956522,21.6417391304,73.0204347826,114.173478261,-3.69913043478,96.5017391304,0,0,0,1
